Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Տավուշ,Իջևան / Աչաջուր,գ. Աչաջրի մ/դ,27
Արմավիր,Վաղարշապատ / Ապագա,գ. Ապագայի մ/դ,13
Արմավիր,Վաղարշապատ / Առատաշեն,գ. Առատաշենի Գ. Գրիգորյանի անվ. մ/դ,17
Շիրակ,Ախուրյան / Առափի,գ. Առափիի մ/դ,6
Կոտայք,Աբովյան / Առինջ,գ. Առինջի Կ.Ծառուկյանի անվ. մ/դ,26
Գեղարքունիք,Մարտունի / Աստղաձոր,գ. Աստղաձորի մ/դ,34
Գեղարքունիք,Վարդենիս / Ավազան,գ. Ավազանի հմ/դ,1
Արագածոտն,Աշտարակ / Ավան,գ. Ավանի Ա.Սերոբի անվ. մ/դ,1
Արարատ,Արարատ / Ավշար,գ. Ավշարի մ/դ,22
Արագածոտն,Թալին / Արագածավան,գ. Արագածավանի թիվ 1 մ/դ,18
Արագածոտն,Թալին / Արագածավան,գ. Արագածավանի թիվ 2 մ/դ,11
Արագածոտն,Ապարան / Արագած,գ. Արագածի թիվ 1 մ/դ,17
Արագածոտն,Ապարան / Արագած,գ. Արագածի թիվ 2 մ/դ,2
Արմավիր,Վաղարշապատ / Արագած,գ. Արագածի Մ.Մեխակյանի անվ. մ/դ,11
Արագածոտն,Աշտարակ / Արագածոտն,գ. Արագածոտնի մ/դ,4
Կոտայք,Նաիրի / Արագյուղ,"գ. Արագյուղի ""Տիգրանակերտ կրթարան"" մ/դ",9
Արմավիր,Արմավիր / Արազափ,գ. Արազափի Թ. Հուրյանի անվ. մ/դ,7
Արարատ,Արարատ / Արալեզ,գ. Արալեզի մ/դ,11
Կոտայք,Աբովյան / Արամուս,գ. Արամուսի Վ.Առաքելյանի անվ. մ/դ,23
Արագածոտն,Ապարան / Արայի,գ. Արայի հմ/դ,1
Սյունիք,Գորիս / Արավուս,գ. Արավուսի տ/դ,2
Արարատ,Արարատ / Արարատ,գ. Արարատի թիվ 1 մ/դ,15
Արարատ,Արարատ / Արարատ,գ. Արարատի թիվ 2 մ/դ,21
Արարատ,Արարատ / Արարատ,գ. Արարատի թիվ 3 մ/դ,11
Արարատ,Արտաշատ / Արաքսավան,գ. Արաքսավանի մ/դ,7
Արմավիր,Արմավիր / Արաքս,գ. Արաքսի Զ.Ավետիսյանի անվ. մ/դ,8
Արմավիր,Վաղարշապատ / Արաքս,գ. Արաքսի մ/դ,14
Արարատ,Մասիս / Արբաթ,գ. Արբաթի Հ.Զաքարյանի անվ. մ/դ,20
Արմավիր,Արմավիր / Արգավանդ,գ. Արգավանդի մ/դ,19
Արարատ,Մասիս / Արգավանդ,գ. Արգավանդի մ/դ,14
Կոտայք,Նաիրի / Արգել,գ. Արգելի Վ.Անանյանի անվ. մ/դ,14
Արմավիր,Բաղրամյան / Արգինա,գ. Արգինայի մ/դ,4
Շիրակ,Ամասիա / Արեգնադեմ,գ. Արեգնադեմի մ/դ,2
Գեղարքունիք,Վարդենիս / Արեգունի,գ. Արեգունու մ/դ,1
Վայոց Ձոր,Եղեգնաձոր / Արենի,գ. Արենիի մ/դ,13
Կոտայք,Հրազդան / Արզական,գ. Արզականի Խ.Խաչատրյանի անվ. մ/դ,13
Կոտայք,Աբովյան / Արզնի,գ. Արզնիի մ/դ,24
Վայոց Ձոր,Վայք / Արին,գ. Արինի մ/դ,1
Լոռի,Տաշիր / Արծնի,գ. Արծնիի մ/դ,2
Տավուշ,Տավուշ / Արծվաբերդ,գ. Արծվաբերդի թիվ 2 հմ/դ,9
Տավուշ,Տավուշ / Արծվաբերդ,գ. Արծվաբերդի թիվ 1 մ/դ,12
Սյունիք,Կապան / Արծվանիկ,գ. Արծվանիկի մ/դ,3
Գեղարքունիք,Մարտունի / Արծվանիստ,գ. Արծվանիստի մ/դ,14
Տավուշ,Նոյեմբերյան / Արճիս,գ. Արճիսի մ/դ,7
