Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ,Որ երկրից է / Ռուսաստան,Որ երկրից է / ԱՄՆ,Որ երկրից է / Հայաստան,Որ երկրից է / Արցախ,Որ երկրից է / Ուկրաինա,Որ երկրից է / Ֆրանսիա
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,59,- չունի -,- չունի -,59,- չունի -,- չունի -,- չունի -
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,205,1,- չունի -,204,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,324,1,- չունի -,319,4,- չունի -,- չունի -
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,25,- չունի -,- չունի -,23,2,- չունի -,- չունի -
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,213,- չունի -,- չունի -,204,8,1,- չունի -
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,36,- չունի -,- չունի -,30,6,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,2,- չունի -,- չունի -,2,- չունի -,- չունի -,- չունի -
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,22,- չունի -,- չունի -,18,4,- չունի -,- չունի -
Լոռի,Ալավերդի / Աթան,գ. Աթանի հմ/դ,5,- չունի -,- չունի -,5,- չունի -,- չունի -,- չունի -
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,23,- չունի -,- չունի -,23,- չունի -,- չունի -,- չունի -
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,119,- չունի -,- չունի -,112,7,- չունի -,- չունի -
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,16,- չունի -,- չունի -,14,2,- չունի -,- չունի -
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,6,- չունի -,- չունի -,6,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,21,- չունի -,- չունի -,21,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,45,- չունի -,- չունի -,40,5,- չունի -,- չունի -
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,175,- չունի -,- չունի -,174,1,- չունի -,- չունի -
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,166,- չունի -,- չունի -,164,2,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,19,- չունի -,- չունի -,19,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,195,1,- չունի -,190,4,- չունի -,- չունի -
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,15,1,- չունի -,12,2,- չունի -,- չունի -
