Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ,Որ երկրից է / Ռուսաստան,Որ երկրից է / ԱՄՆ,Որ երկրից է / Հայաստան,Որ երկրից է / Արցախ,Որ երկրից է / Ուկրաինա,Որ երկրից է / Ֆրանսիա
Շիրակ,Ախուրյան / Ջաջուռ կայարան,գ. Ջաջուռ կայարանի տ/դ,1,- չունի -,- չունի -,1,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Ջաջուռ,գ. Ջաջուռի մ/դ,42,- չունի -,- չունի -,42,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Ջիլիզայի,գ. Ջիլիզայի մ/դ,7,- չունի -,- չունի -,7,- չունի -,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Ջուջևան,գ. Ջուջևանի մ/դ,20,- չունի -,- չունի -,15,5,- չունի -,- չունի -
Կոտայք,Աբովյան / Ջրաբեր,գ. Ջրաբերի մ/դ,21,- չունի -,- չունի -,18,3,- չունի -,- չունի -
Արարատ,Մասիս / Ջրահովիտ,գ. Ջրահովտի մ/դ,77,1,- չունի -,72,4,- չունի -,- չունի -
Շիրակ,Ամասիա / Ջրաձոր,գ. Ջրաձորի մ/դ,8,- չունի -,- չունի -,8,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Ջրաշեն,գ. Ջրաշենի մ/դ,43,1,- չունի -,42,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Ջրաշեն,գ. Ջրաշենի մ/դ,241,- չունի -,- չունի -,240,1,- չունի -,- չունի -
Արարատ,Արտաշատ / Ջրաշեն,գ. Ջրաշենի մ/դ,88,- չունի -,- չունի -,86,2,- չունի -,- չունի -
Արմավիր,Արաքս / Ջրառատ,գ. Ջրառատի Թ.Խաչատրյանի անվ. մ/դ,194,- չունի -,- չունի -,184,10,- չունի -,- չունի -
Կոտայք,Հրազդան / Ջրառատ,գ. Ջրառատի մ/դ,63,- չունի -,- չունի -,52,11,- չունի -,- չունի -
Շիրակ,Ախուրյան / Ջրառատ,գ. Ջրառատի մ/դ,52,- չունի -,- չունի -,52,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Ջրարբի,գ. Ջրարբիի մ/դ,116,1,- չունի -,107,8,- չունի -,- չունի -
Շիրակ,Անի / Ջրափի,գ. Ջրափիի մ/դ,36,- չունի -,- չունի -,36,- չունի -,- չունի -,- չունի -
Կոտայք,Աբովյան / Ջրվեժ,գ. Ջրվեժի մ/դ,637,4,2,588,43,- չունի -,- չունի -
Արարատ,Մասիս / Ռանչպար,գ. Ռանչպարի մ/դ,85,- չունի -,- չունի -,65,20,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Ռինդ,գ. Ռինդի մ/դ,80,- չունի -,- չունի -,80,- չունի -,- չունի -,- չունի -
Արագածոտն,Ալագյազ / Ռյա թազա,գ. Ռյա Թազայի մ/դ,18,- չունի -,- չունի -,18,- չունի -,- չունի -,- չունի -
Արագածոտն,Արագած / Սադունց,գ. Սադունցի Ս.Մուրադովի անվ. հմ/դ,7,- չունի -,- չունի -,7,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Սալլի,գ. Սալիի հմ/դ,17,- չունի -,- չունի -,17,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Սալվարդ,գ. Սալվարդի հմ/դ,6,- չունի -,- չունի -,6,- չունի -,- չունի -,- չունի -
Արարատ,Մասիս / Սայաթ-Նովա,գ. Սայաթ-Նովայի մ/դ,220,2,- չունի -,186,32,- չունի -,- չունի -
Սյունիք,Սիսիան / Սառնակունք,գ. Սառնակունքի մ/դ,18,- չունի -,- չունի -,18,- չունի -,- չունի -,- չունի -
Շիրակ,Անի / Սառնաղբյուր,գ. Սառնաղբյուրի մ/դ,225,- չունի -,- չունի -,223,2,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Սասունիկ,գ. Սասունիկի մ/դ,181,1,- չունի -,170,10,- չունի -,- չունի -
Շիրակ,Աշոցք / Սարագյուղ,գ. Սարագյուղի հմ/դ,6,- չունի -,- չունի -,6,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Սարալանջ,գ. Սարալանջի hմ/դ,2,- չունի -,- չունի -,2,- չունի -,- չունի -,- չունի -
Կոտայք,Նաիրի / Սարալանջ,գ. Սարալանջի հմ/դ,31,- չունի -,- չունի -,30,- չունի -,1,- չունի -
Արագածոտն,Ապարան / Սարալանջ,գ. Սարալանջի հմ/դ,4,- չունի -,- չունի -,4,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Սարալանջ,գ. Սարալանջի մ/դ,57,1,- չունի -,56,- չունի -,- չունի -,- չունի -
Շիրակ,Անի / Սարակապ,գ. Սարակապի մ/դ,24,- չունի -,- չունի -,24,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Սարահարթ,գ. Սարահարթի մ/դ,62,- չունի -,- չունի -,62,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Սարամեջ,գ. Սարամեջի Մ. Ֆարմանյանի մ/դ,74,- չունի -,- չունի -,74,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Վայք / Սարավան,գ. Սարավանի հմ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Սարատակ,գ. Սարատակի մ/դ,88,- չունի -,- չունի -,84,4,- չունի -,- չունի -
Լոռի,Տաշիր / Սարատովկա,գ. Սարատովկայի մ/դ,33,- չունի -,- չունի -,33,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Սարդարապատ,գ. Սարդարապատի մ/դ,329,- չունի -,- չունի -,322,7,- չունի -,- չունի -
Տավուշ,Իջևան / Սարիգյուղ,գ. Սարիգյուղի մ/դ,105,- չունի -,- չունի -,103,2,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Սարուխան,գ. Սարուխանի N2 մ/դ,132,- չունի -,- չունի -,131,- չունի -,1,- չունի -
Գեղարքունիք,Գավառ / Սարուխան,գ. Սարուխանի Հայկազ Խաչատրյանի անվ. հ․ 3 մ/դ,46,2,- չունի -,44,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Սարուխան,գ. Սարուխանի հ․ 1 մ/դ,65,- չունի -,- չունի -,65,- չունի -,- չունի -,- չունի -
Լոռի,Տաշիր / Սարչապետ,գ. Սարչապետի մ/դ,71,- չունի -,- չունի -,63,8,- չունի -,- չունի -
Գեղարքունիք,Սևան / Սեմյոնովկա,գ. Սեմյոնովկայի հմ/դ,6,- չունի -,- չունի -,4,2,- չունի -,- չունի -
Վայոց Ձոր,Վայք / Սերս,գ. Սերսի հմ/դ,1,- չունի -,- չունի -,1,- չունի -,- չունի -,- չունի -
Շիրակ,Աշոցք / Սիզավետ,գ. Սիզավետի մ/դ,9,- չունի -,- չունի -,9,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Սիսավան,գ. Սիսավանի մ/դ,164,1,- չունի -,160,3,- չունի -,- չունի -
Արարատ,Մասիս / Սիս,գ. Սիսի մ/դ,108,2,- չունի -,76,30,- չունի -,- չունի -
Արագածոտն,Արագած / Սիփան,գ. Սիփանի մ/դ,7,- չունի -,- չունի -,7,- չունի -,- չունի -,- չունի -
Արարատ,Մասիս / Սիփանիկ,գ. Սիփանիկի հմ/դ,49,- չունի -,- չունի -,47,2,- չունի -,- չունի -
Սյունիք,Կապան / Սյունիք,գ. Սյունիքի մ/դ,66,- չունի -,- չունի -,65,1,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Սոթք,գ. Սոթքի մ/դ,66,- չունի -,- չունի -,65,1,- չունի -,- չունի -
Կոտայք,Հրազդան / Սոլակ,գ. Սոլակի մ/դ,141,- չունի -,- չունի -,139,2,- չունի -,- չունի -
Արագածոտն,Թալին / Սորիկ,գ. Սորիկի հմ/դ,2,- չունի -,- չունի -,2,- չունի -,- չունի -,- չունի -
Արագածոտն,Թալին / Սուսեր,գ. Սուսերի մ/դ,12,- չունի -,- չունի -,12,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Սուրենավան,գ. Սուրենավանի մ/դ,154,- չունի -,- չունի -,142,12,- չունի -,- չունի -
Սյունիք,Սիսիան / Սպանդարյան,գ. Սպանդարյանի մ/դ,16,- չունի -,- չունի -,16,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Սպանդարյան,գ. Սպանդարյանի Վիտյա Այվազյանի անվ. մ/դ,95,- չունի -,- չունի -,95,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Սվարանց,գ. Սվարանցի մ/դ,7,- չունի -,- չունի -,5,2,- չունի -,- չունի -
Լոռի,Ստեփանավան / Սվերդլով,գ. Սվերդլովի մ/դ,60,- չունի -,- չունի -,60,- չունի -,- չունի -,- չունի -
Կոտայք,Աբովյան / Սևաբերդ,գ. Սևաբերդի մ/դ,9,- չունի -,- չունի -,9,- չունի -,- չունի -,- չունի -
Տավուշ,Իջևան / Սևքար,գ. Սևքարի մ/դ,94,- չունի -,- չունի -,88,6,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Վերին Գետաշեն,գ. Վ. Գետաշենի հ․ 2 մ/դ,105,1,- չունի -,101,3,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Վերին Գետաշեն,գ. Վ. Գետաշենի հ․1 մ/դ,84,- չունի -,- չունի -,84,- չունի -,- չունի -,- չունի -
Տավուշ,Տավուշ / Ծաղկավան,գ. Վ. Ծաղկավանի մ/դ,46,- չունի -,- չունի -,46,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Վերին Արտաշատ,գ. Վ.Արտաշատի մ/դ,276,- չունի -,- չունի -,264,12,- չունի -,- չունի -
Արարատ,Վերին դվին / Վերին Դվին,գ. Վ.Դվինի մ/դ,140,- չունի -,- չունի -,138,2,- չունի -,- չունի -
Տավուշ,Տավուշ / Վ. Կ. Աղբյուր,գ. Վ.Կ.Աղբյուրի մ/դ,87,- չունի -,- չունի -,85,2,- չունի -,- չունի -
Տավուշ,Իջևան / Վազաշեն,գ. Վազաշենի մ/դ,30,- չունի -,- չունի -,30,- չունի -,- չունի -,- չունի -
Լոռի,Գուգարք / Վահագնաձոր,գ. Վահագնաձորի հմ/դ,9,- չունի -,- չունի -,9,- չունի -,- չունի -,- չունի -
Լոռի,Գուգարք / Վահագնի,գ. Վահագնի մ/դ,36,- չունի -,- չունի -,34,2,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Վահան,գ. Վահանի մ/դ,52,- չունի -,- չունի -,52,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Վաղաշեն,գ. Վաղաշենի մ/դ,225,- չունի -,- չունի -,216,9,- չունի -,- չունի -
Սյունիք,Սիսիան / Վաղատին,գ. Վաղատինի մ/դ,19,- չունի -,- չունի -,19,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Վաղատուր,գ. Վաղատուրի մ/դ,12,- չունի -,- չունի -,11,1,- չունի -,- չունի -
Արմավիր,Բաղրամյան / Վանանդ,գ. Վանանդի մ/դ,96,1,- չունի -,95,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Վանաշեն,գ. Վանաշենի մ/դ,112,- չունի -,- չունի -,106,6,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Վանևան,գ. Վանևանի մ/դ,38,- չունի -,- չունի -,38,- չունի -,- չունի -,- չունի -
Տավուշ,Տավուշ / Վարագավան,գ. Վարագավանի մ/դ,20,- չունի -,- չունի -,20,- չունի -,- չունի -,- չունի -
Արագածոտն,Արագած / Վարդաբլուր,գ. Վարդաբլուրի Խ.Աբովյանի անվ. մ/դ,12,- չունի -,- չունի -,12,- չունի -,- չունի -,- չունի -
Լոռի,Ստեփանավան / Վարդաբլուր,գ. Վարդաբլուրի մ/դ,72,1,- չունի -,66,5,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Վարդահովիտ,գ. Վարդահովիտի հմ/դ,2,- չունի -,- չունի -,2,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Վարդաձոր,գ. Վարդաձորի մ/դ,113,- չունի -,- չունի -,112,1,- չունի -,- չունի -
Արմավիր,Արմավիր / Վարդանաշեն,գ. Վարդանաշենի Մ․ Մինասյանի անվ․ մ/դ,75,- չունի -,- չունի -,72,3,- չունի -,- չունի -
Սյունիք,Մեղրի / Վարդանիձոր,գ. Վարդանիձորի մ/դ,12,- չունի -,- չունի -,12,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Վարդաշեն,գ. Վարդաշենի մ/դ,194,- չունի -,- չունի -,189,5,- չունի -,- չունի -
Սյունիք,Կապան / Վարդավանք,գ. Վարդավանքի մ/դ,9,- չունի -,- չունի -,9,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Վարդաքար,գ. Վարդաքարի մ/դ,41,1,- չունի -,39,- չունի -,1,- չունի -
Գեղարքունիք,Մարտունի / Վարդենիկ,գ. Վարդենիկի Ռ. Հովհաննիսյանի թիվ 1 հմ./դ,70,- չունի -,- չունի -,70,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Վարդենիկ,գ. Վարդենիկի Ա.Օհանյանի անվ. թիվ 2 հմ/դ,121,- չունի -,- չունի -,121,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Վարդենիկ,գ. Վարդենիկի կթհ ա/դ,134,- չունի -,- չունի -,131,3,- չունի -,- չունի -
Արագածոտն,Ապարան / Վարդենիս,գ. Վարդենիսի մ/դ,58,- չունի -,- չունի -,58,- չունի -,- չունի -,- չունի -
Արագածոտն,Ապարան / Վարդենուտ,գ. Վարդենուտի մ/դ,44,- չունի -,- չունի -,44,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Սևան / Վարսեր,գ. Վարսերի Ռ. Պետրոսյանի անվ. մ/դ,80,- չունի -,- չունի -,73,7,- չունի -,- չունի -
Արագածոտն,Թալին / Վերին Սասնաշեն,գ. Վերին Սասնաշենի Մ. Մանուկյանի անվ. հմ/դ,3,- չունի -,- չունի -,3,- չունի -,- չունի -,- չունի -
Արագածոտն,Թալին / Վերին Բազմաբերդ,գ. Վերին Բազմաբերդի հմ/դ,29,- չունի -,- չունի -,29,- չունի -,- չունի -,- չունի -
Սյունիք,Կապան / Վերին Խոտանան,գ. Վերին Խոտանանի մ/դ,12,- չունի -,- չունի -,6,6,- չունի -,- չունի -
Կոտայք,Աբովյան / Վերին Պտղնի,գ. Վերին Պտղնիի մ/դ,78,2,- չունի -,67,9,- չունի -,- չունի -
Սյունիք,Գորիս / Վերիշեն,գ. Վերիշենի մ/դ,114,- չունի -,- չունի -,110,4,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Վերնաշեն,գ. Վերնաշենի մ/դ,41,- չունի -,- չունի -,38,3,- չունի -,- չունի -
Սյունիք,Գորիս / Տաթև,գ. Տաթևի Սուրեն Առաքելյանի անվ. մ/դ,20,- չունի -,- չունի -,18,2,- չունի -,- չունի -
Արմավիր,Բաղրամյան / Տալվորիկ,գ. Տալվորիկի հմ/դ,15,- չունի -,- չունի -,15,- չունի -,- չունի -,- չունի -
Սյունիք,Կապան / Տանձավեր,գ. Տանձավերի մ/դ,3,- չունի -,- չունի -,3,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Տանձատափ,գ. Տանձատափի հմ/դ,2,- չունի -,- չունի -,2,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Տանձուտ,գ. Տանձուտի մ/դ,98,- չունի -,- չունի -,97,1,- չունի -,- չունի -
Տավուշ,Տավուշ / Տավուշ,գ. Տավուշի մ/դ,81,- չունի -,- չունի -,78,3,- չունի -,- չունի -
Սյունիք,Կապան / Տավրուս,գ. Տավրուսի մ/դ,3,- չունի -,- չունի -,3,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Տարոնիկ,գ. Տարոնիկի Գ. Գառնիկյանի անվ. մ/դ,142,1,- չունի -,127,14,- չունի -,- չունի -
Արարատ,Արարատ / Տափերական,գ. Տափերականի մ/դ,171,- չունի -,- չունի -,158,13,- չունի -,- չունի -
Սյունիք,Գորիս / Տեղ,գ. Տեղի թիվ 1 մ/դ,77,- չունի -,- չունի -,71,6,- չունի -,- չունի -
Սյունիք,Գորիս / Տեղ,գ. Տեղի թիվ 2 մ/դ,37,- չունի -,- չունի -,32,5,- չունի -,- չունի -
Արարատ,Արարատ / Տիգրանաշեն,գ. Տիգրանաշենի Պարույր Սևակի անվան հմ/դ,2,- չունի -,- չունի -,2,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Տոլորս,գ. Տոլորսի մ/դ,29,- չունի -,- չունի -,29,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Տորունիք,գ. Տորունիքի հմ/դ,5,- չունի -,- չունի -,5,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Տուֆաշեն,գ. Տուֆաշենի մ/դ,16,- չունի -,- չունի -,16,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Տրետուք,գ. Տրետուքի մ/դ,12,- չունի -,- չունի -,12,- չունի -,- չունի -,- չունի -
Արագածոտն,Թալին / Ցամաքասար,գ. Ցամաքասարի հմ/դ,16,- չունի -,- չունի -,16,- չունի -,- չունի -,- չունի -
Շիրակ,Աշոցք / Ցողամարգ,գ. Ցողամարգի մ/դ,39,- չունի -,- չունի -,37,2,- չունի -,- չունի -
Լոռի,Գուգարք / Փամբակ,գ. Փամբակի հմ/դ,6,- չունի -,- չունի -,6,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Փամբակ,գ. Փամբակի մ/դ,29,- չունի -,- չունի -,28,1,- չունի -,- չունի -
Շիրակ,Արթիկ / Փանիկ,գ. Փանիկի մ/դ,143,- չունի -,- չունի -,141,2,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Փարաքարի,գ. Փարաքարի մ/դ,201,1,- չունի -,192,8,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Փարպի,գ. Փարպիի Ղ.Փարպեցու անվ. մ/դ,95,1,- չունի -,87,7,- չունի -,- չունի -
Կոտայք,Հրազդան / Փյունիկ,գ. Փյունիկի մ/դ,28,- չունի -,- չունի -,27,1,- չունի -,- չունի -
Արմավիր,Արմավիր / Փշատավան,գ. Փշատավանի մ/դ,143,- չունի -,- չունի -,141,2,- չունի -,- չունի -
Շիրակ,Արթիկ / Փոքր Մանթաշ,գ. Փոքր Մանթաշի մ/դ,110,2,- չունի -,108,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Փոքր Մասրիկ,գ. Փոքր Մասրիկի մ/դ,43,- չունի -,- չունի -,43,- չունի -,- չունի -,- չունի -
Շիրակ,Աշոցք / Փոքր Սարիար,գ. Փոքր Սարիարի մ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Արարատ,Վեդի / Փոքր վեդի,գ. Փոքր Վեդու մ/դ,226,- չունի -,- չունի -,220,6,- չունի -,- չունի -
Շիրակ,Ախուրյան / Փոքրաշեն,գ. Փոքրաշենի մ/դ,9,- չունի -,- չունի -,9,- չունի -,- չունի -,- չունի -
Կոտայք,Հրազդան / Քաղսի,գ. Քաղսի մ/դ,192,- չունի -,- չունի -,189,3,- չունի -,- չունի -
Արարատ,Արտաշատ / Քաղցրաշեն,գ. Քաղցրաշենի Սամվել Գևորգյանի անվ. մ/դ,206,- չունի -,- չունի -,203,3,- չունի -,- չունի -
Կոտայք,Նաիրի / Քանաքեռավան,գ. Քանաքեռավանի մ/դ,248,1,- չունի -,240,7,- չունի -,- չունի -
Կոտայք,Նաիրի / Քասախ,գ. Քասախի N1 մ/դ,330,2,- չունի -,317,11,- չունի -,- չունի -
Կոտայք,Նաիրի / Քասախ,գ. Քասախի Ա.Հովհաննիսյանի անվ. թիվ 2 մ/դ,163,1,- չունի -,140,22,- չունի -,- չունի -
Շիրակ,Անի / Քարաբերդ,գ. Քարաբերդի մ/դ,68,- չունի -,- չունի -,68,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Քարագլուխ,գ. Քարագլխի մ/դ,37,- չունի -,- չունի -,37,- չունի -,- չունի -,- չունի -
Արմավիր,Բաղրամյան / Քարակերտ,գ. Քարակերտի թիվ 1 մ/դ,105,- չունի -,- չունի -,103,2,- չունի -,- չունի -
Արմավիր,Բաղրամյան / Քարակերտ,գ. Քարակերտի թիվ 2 մ/դ,89,- չունի -,- չունի -,87,2,- չունի -,- չունի -
Սյունիք,Գորիս / Քարահունջ,գ. Քարահունջի մ/դ,78,- չունի -,- չունի -,77,1,- չունի -,- չունի -
Լոռի,Սպիտակ / Քարաձոր,գ. Քարաձոր հմ/դ,18,- չունի -,- չունի -,18,- չունի -,- չունի -,- չունի -
Կոտայք,Նաիրի / Քարաշամբ,գ. Քարաշամբի մ/դ,24,- չունի -,- չունի -,23,1,- չունի -,- չունի -
Սյունիք,Գորիս / Քարաշեն,գ. Քարաշենի մ/դ,33,- չունի -,- չունի -,30,3,- չունի -,- չունի -
Լոռի,Ալավերդի / Քարինջ,գ. Քարինջի մ/դ,29,- չունի -,- չունի -,29,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Քեթի,գ. Քեթիի մ/դ,47,- չունի -,- չունի -,46,1,- չունի -,- չունի -
Արագածոտն,Ապարան / Քուչակ,գ. Քուչակի Մ. Նալբանդյանի մ/դ,109,- չունի -,- չունի -,108,1,- չունի -,- չունի -
Սյունիք,Կապան / Օխտար,գ. Օխտարի մ/դ,8,- չունի -,- չունի -,7,1,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Օհանավան,գ. Օհանավանի Ս.Ավետիսյանի անվ. մ/դ,164,- չունի -,- չունի -,164,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Օձուն,գ. Օձունի թիվ 2 մ/դ,124,- չունի -,- չունի -,123,1,- չունի -,- չունի -
Լոռի,Ալավերդի / Օձուն,գ. Օձունի Հ. Օձնեցու անվ. թիվ 1 մ/դ,121,- չունի -,- չունի -,121,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Օշական,գ. Օշականի Մ.Մաշտոցի անվ. մ/դ,176,1,- չունի -,150,25,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Օշական,գ. Օշականի Փ.Բաբկենյանի անվ. հմ/դ,24,- չունի -,- չունի -,23,1,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Օրգով,գ. Օրգովի մ/դ,27,- չունի -,- չունի -,26,1,- չունի -,- չունի -
Կոտայք,Հրազդան / Ֆանտան,գ. Ֆանտանի մ/դ,53,- չունի -,- չունի -,52,1,- չունի -,- չունի -
Լոռի,Գուգարք / Ֆիալետովո,գ. Ֆիոլետովոյի մ/դ,79,- չունի -,- չունի -,79,- չունի -,- չունի -,- չունի -
Արմավիր,Մեծամոր / Ալաշկերտ,գ.Ալաշկերտի Հ.Քոչարի անվ. մ/դ,120,- չունի -,- չունի -,118,2,- չունի -,- չունի -
Շիրակ,Ախուրյան / Ախուրյան,գ․ Ախուրյանի Ն․Աղբալյանի անվ․ ա/դ,99,- չունի -,- չունի -,98,1,- չունի -,- չունի -
Տավուշ,Տավուշ / Այգեպար,գ․ Այգեպարի մ/դ,23,- չունի -,- չունի -,23,- չունի -,- չունի -,- չունի -
Շիրակ,Անի / Անիավան,գ․ Անի կայարանի մ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Արևշատ,գ․ Արևշատի մ/դ,89,- չունի -,- չունի -,89,- չունի -,- չունի -,- չունի -
Արագածոտն,Թալին / Արևուտ,գ․ Արևուտի հմ/դ,4,- չունի -,- չունի -,4,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Բայանդուր,գ․ Բայանդուրի մ/դ,57,- չունի -,- չունի -,57,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Ջիլ,գ․ Ջիլի մ/դ,57,- չունի -,- չունի -,56,1,- չունի -,- չունի -
Լոռի,Ալավերդի / Քարկոփ,գ․ Քարկոփի մ/դ,26,- չունի -,- չունի -,26,- չունի -,- չունի -,- չունի -
Տավուշ,Դիլիջան / Դիլիջան,Դիլիջանի ավագ դպրոց,165,1,- չունի -,158,6,- չունի -,- չունի -
Տավուշ,Դիլիջան / Դիլիջան,Դիլիջանի կենտրոնական դպրոց,95,- չունի -,- չունի -,91,4,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,Էվրիկա դպրոց,165,4,- չունի -,157,4,- չունի -,- չունի -
Տավուշ,Իջևան / Իջևան,Իջևանի վարժարան ՊՈԱԿ,55,1,- չունի -,53,1,- չունի -,- չունի -
Արագածոտն,Արագած / Կանաիաշիր,Կանիաշիրի հմ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Կողբ,Կողբի Բ. Սահակյանի անվան թիվ 2 մ/դ,85,1,- չունի -,82,2,- չունի -,- չունի -
Երևան,Երևան / Քանաքեռ - Զեյթուն,Հայ - չինական բարեկամության դպրոց,390,2,- չունի -,387,1,- չունի -,- չունի -
Լոռի,Վանաձոր / Վանաձոր,ՀԱՊՀ Վանաձորի մասնաճյուղի ավագ դպրոց,69,- չունի -,- չունի -,68,1,- չունի -,- չունի -
Երևան,Երևան / Մալաթիա,"ՀՀ ԿԳՆ «Երևանի «Մխիթար Սեբաստացի» կրթահամալիր» ՊՈԱԿ, Ավագ դպրոց",187,2,- չունի -,184,1,- չունի -,- չունի -
